epoch=1 train_acc=0.3856 train_loss=1.6889 val_acc=0.4972 val_loss=1.4089
epoch=2 train_acc=0.5104 train_loss=1.3573 val_acc=0.5724 val_loss=1.2258
epoch=3 train_acc=0.5810 train_loss=1.1735 val_acc=0.6216 val_loss=1.0857
epoch=4 train_acc=0.6246 train_loss=1.0510 val_acc=0.6488 val_loss=0.9833
epoch=5 train_acc=0.6543 train_loss=0.9692 val_acc=0.6551 val_loss=0.9746
epoch=6 train_acc=0.6831 train_loss=0.9044 val_acc=0.7081 val_loss=0.8439
epoch=7 train_acc=0.7003 train_loss=0.8471 val_acc=0.7119 val_loss=0.8302
epoch=8 train_acc=0.7170 train_loss=0.8030 val_acc=0.7307 val_loss=0.7701
epoch=9 train_acc=0.7295 train_loss=0.7632 val_acc=0.7232 val_loss=0.7895
epoch=10 train_acc=0.7444 train_loss=0.7287 val_acc=0.7350 val_loss=0.7743
epoch=11 train_acc=0.7557 train_loss=0.6968 val_acc=0.7635 val_loss=0.6842
epoch=12 train_acc=0.7654 train_loss=0.6676 val_acc=0.7637 val_loss=0.6910
epoch=13 train_acc=0.7742 train_loss=0.6412 val_acc=0.7545 val_loss=0.7117
epoch=14 train_acc=0.7843 train_loss=0.6148 val_acc=0.7700 val_loss=0.6700
epoch=15 train_acc=0.7943 train_loss=0.5872 val_acc=0.7749 val_loss=0.6599
epoch=16 train_acc=0.8012 train_loss=0.5628 val_acc=0.7782 val_loss=0.6483
epoch=17 train_acc=0.8078 train_loss=0.5426 val_acc=0.7846 val_loss=0.6232
epoch=18 train_acc=0.8153 train_loss=0.5242 val_acc=0.7848 val_loss=0.6273
epoch=19 train_acc=0.8225 train_loss=0.4996 val_acc=0.7955 val_loss=0.6109
epoch=20 train_acc=0.8317 train_loss=0.4761 val_acc=0.7920 val_loss=0.6231
epoch=21 train_acc=0.8389 train_loss=0.4580 val_acc=0.7991 val_loss=0.6005
epoch=22 train_acc=0.8434 train_loss=0.4405 val_acc=0.8026 val_loss=0.5876
epoch=23 train_acc=0.8520 train_loss=0.4201 val_acc=0.8047 val_loss=0.5944
epoch=24 train_acc=0.8589 train_loss=0.4032 val_acc=0.8079 val_loss=0.5825
epoch=25 train_acc=0.8606 train_loss=0.3908 val_acc=0.8109 val_loss=0.5770
epoch=26 train_acc=0.8641 train_loss=0.3813 val_acc=0.8135 val_loss=0.5760
epoch=27 train_acc=0.8708 train_loss=0.3686 val_acc=0.8140 val_loss=0.5741
epoch=28 train_acc=0.8723 train_loss=0.3600 val_acc=0.8137 val_loss=0.5728
epoch=29 train_acc=0.8764 train_loss=0.3498 val_acc=0.8167 val_loss=0.5690
epoch=30 train_acc=0.8755 train_loss=0.3503 val_acc=0.8175 val_loss=0.5725
